MacroPlot Purpose,MacroPlot UTM X,MacroPlot UTM Y,MacroPlot UTM Zone,MacroPlot Name,Monitoring Status,Date,Index,Transect,Azimuth,Slope,OneHr,TenHr,HunHr,FWDFuConSt,Comment,UV1,UV2,UV3,NumTran,OneHrTranLen,TenHrTranLen,HunHrTranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,,,,,,,,,,,,,4,6,6,12,,,,,,,TRUE
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483648,1,154,2,1,6,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483647,2,259,19,1,0,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483646,3,189,30,0,3,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483645,4,231,43,0,4,3,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,03Post,5/26/2013 9:53,,,,,,,,,,,,,4,6,6,12,,,,,,,TRUE
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,03Post,5/26/2013 9:53,-2147483648,1,154,2,0,7,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,03Post,5/26/2013 9:53,-2147483647,2,259,19,6,12,2,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,03Post,5/26/2013 9:53,-2147483646,3,189,30,0,3,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,03Post,5/26/2013 9:53,-2147483645,4,231,93,0,6,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,03Year01,5/26/2013 7:41,,,,,,,,,,,,,4,6,6,12,,,,,,,TRUE
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,03Year01,5/26/2013 7:41,-2147483648,1,154,2,0,7,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,03Year01,5/26/2013 7:41,-2147483647,2,259,19,6,12,2,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,03Year01,5/26/2013 7:41,-2147483646,3,189,30,0,3,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,03Year01,5/26/2013 7:41,-2147483645,4,231,93,0,6,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,03Year02,6/29/2014 15:31,,,,,,,,,,,,,4,6,6,12,cd; jrb,sm,,,,,TRUE
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,03Year02,6/29/2014 15:31,-2147483648,1,154,2,0,7,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,03Year02,6/29/2014 15:31,-2147483647,2,259,19,3,28,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,03Year02,6/29/2014 15:31,-2147483646,3,189,30,1,1,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,03Year02,6/29/2014 15:31,-2147483645,4,231,44,0,7,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,15Post,7/2/2017 18:12,,,,,,,,,,,,,4,6,6,12,cd;cs,cd;cs,,,,,TRUE
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,15Post,7/2/2017 18:12,-2147483648,1,154,2,2,10,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,15Post,7/2/2017 18:12,-2147483647,2,259,19,1,4,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,15Post,7/2/2017 18:12,-2147483646,3,189,30,1,4,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,15Post,7/2/2017 18:12,-2147483645,4,231,44,0,5,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,15Year02,7/2/2017 18:14,,,,,,,,,,,,,4,6,6,12,cs cd,cs cd,,,,,TRUE
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,15Year02,7/2/2017 18:14,-2147483648,1,154,2,2,10,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,15Year02,7/2/2017 18:14,-2147483647,2,259,19,1,4,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,15Year02,7/2/2017 18:14,-2147483646,3,189,30,1,4,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,15Year02,7/2/2017 18:14,-2147483645,4,231,44,0,5,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,15Year05,8/13/2020 14:28,,,,,,,,,,,,,4,6,6,12,CD IW,CD IW,,,,,TRUE
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,15Year05,8/13/2020 14:28,-2147483648,1,154,2,0,13,3,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,15Year05,8/13/2020 14:28,-2147483647,2,259,19,2,6,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,15Year05,8/13/2020 14:28,-2147483646,3,189,30,0,2,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,15Year05,8/13/2020 14:28,-2147483645,4,231,44,0,9,0,LARO,,,,,,,,,,,,,,,
