Date,Monitoring Status,MacroPlot Name,MacroPlot UTM Y,MacroPlot UTM X,MacroPlot Purpose,NumTran,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Index,Transect,SampLoc,OffSet,LittDep,DuffDep,FuelbedDep,DLFuConSt,Comment,UV1,UV2,UV3,Visited
5/29/1996 0:00,00Pre,FPSME2D08-21,5357384,668304,Company Creek,4,,,,,,,,,,,,,,,,,,,TRUE
5/29/1996 0:00,00Pre,FPSME2D08-21,5357384,668304,Company Creek,,,,,,,,26,3,25,FALSE,0.7,2.3,,NOCA,,,, fuel3_FUEL,
5/29/1996 0:00,00Pre,FPSME2D08-21,5357384,668304,Company Creek,,,,,,,,40,4,45,FALSE,0.6,2.8,,NOCA,,,, fuel4_FUEL,
5/29/1996 0:00,00Pre,FPSME2D08-21,5357384,668304,Company Creek,,,,,,,,2,1,5,FALSE,0,2.3,,NOCA,,,, fuel1_FUEL,
5/29/1996 0:00,00Pre,FPSME2D08-21,5357384,668304,Company Creek,,,,,,,,7,1,30,FALSE,0,0.1,,NOCA,,,, fuel1_FUEL,
5/29/1996 0:00,00Pre,FPSME2D08-21,5357384,668304,Company Creek,,,,,,,,11,2,1,FALSE,0.8,0.3,,NOCA,,,, fuel2_FUEL,
5/29/1996 0:00,00Pre,FPSME2D08-21,5357384,668304,Company Creek,,,,,,,,23,3,10,FALSE,0,1.3,,NOCA,,,, fuel3_FUEL,
5/29/1996 0:00,00Pre,FPSME2D08-21,5357384,668304,Company Creek,,,,,,,,27,3,30,FALSE,0.5,4,,NOCA,,,, fuel3_FUEL,
5/29/1996 0:00,00Pre,FPSME2D08-21,5357384,668304,Company Creek,,,,,,,,15,2,20,FALSE,0.9,0.8,,NOCA,,,, fuel2_FUEL,
5/29/1996 0:00,00Pre,FPSME2D08-21,5357384,668304,Company Creek,,,,,,,,32,4,5,FALSE,0.2,0.7,,NOCA,,,, fuel4_FUEL,
5/29/1996 0:00,00Pre,FPSME2D08-21,5357384,668304,Company Creek,,,,,,,,17,2,30,FALSE,0,0.5,,NOCA,,,, fuel2_FUEL,
5/29/1996 0:00,00Pre,FPSME2D08-21,5357384,668304,Company Creek,,,,,,,,8,1,35,FALSE,0,0,,NOCA,,,, fuel1_FUEL,
5/29/1996 0:00,00Pre,FPSME2D08-21,5357384,668304,Company Creek,,,,,,,,19,2,40,FALSE,1,0.5,,NOCA,,,, fuel2_FUEL,
