MacroPlot Purpose,MacroPlot UTM X,MacroPlot UTM Y,MacroPlot UTM Zone,MacroPlot Name,Monitoring Status,Date,Index,Transect,SampLoc,OffSet,LittDep,DuffDep,FuelbedDep,DLFuConSt,Comment,UV1,UV2,UV3,NumTran,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,,,,,,,,,,,,,4,,,,,,,TRUE
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483648,1,1,FALSE,0.6,0.5,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483647,1,5,FALSE,0.8,0.9,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483646,1,10,FALSE,0.4,0.5,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483645,1,15,FALSE,0.7,0.8,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483644,1,20,FALSE,0.6,0.3,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483643,1,25,FALSE,0.6,1,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483642,1,30,FALSE,0.8,0.7,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483641,1,35,FALSE,0.5,0.5,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483640,1,40,FALSE,1.1,0.6,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483639,1,45,FALSE,1.1,0.7,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483638,2,1,FALSE,1.4,0.8,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483637,2,5,FALSE,0.7,1.4,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483636,2,10,FALSE,0.6,1,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483635,2,15,FALSE,0.9,0.9,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483634,2,20,FALSE,0.7,0.8,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483633,2,25,FALSE,0.4,1,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483632,2,30,FALSE,1.8,2.5,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483631,2,35,FALSE,1.2,2.9,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483630,2,40,FALSE,1.7,3.2,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483629,2,45,FALSE,1.9,1.5,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483628,3,1,FALSE,0.9,1.4,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483627,3,5,FALSE,1,1.1,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483626,3,10,FALSE,0.8,1,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483625,3,15,FALSE,1.3,0.9,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483624,3,20,FALSE,0.3,1,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483623,3,25,TRUE,1.9,1,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483622,3,30,FALSE,1.1,5.2,,LARO,,,,,,,,,,,,
Bradbury Beach,414636,5372981,11U,FPIPO1D10-33,00Pre,6/11/2010 8:51,-2147483621,3,35,FALSE,2.2,3.4,,LARO,,,,,,,,,,,,
