Macroplot,Monitoring Status,1-hr,10-hr,100-hr,1-100-hr,1000-hr sound,1000-hr rotten,1-1000-hr,Duff,Litter,Total,Duff,Litt,Total
FPSME2D08-01,00PRO01,0.05,0.09,0,0.14,0,0,0.14,1.24,1.06,2.44,0.8,1.1,1.9
FPSME2D08-01,00Pre,0.09,0.27,0.26,0.63,1.52,0,2.15,2.74,0.28,5.17,1.8,0.3,2.1
FPSME2D08-01,02Year01,0.09,0.2,0.26,0.55,1.68,0,2.22,5.3,0.61,8.13,3.5,0.6,4.1
FPSME2D08-01,04Post,0.06,0.12,0,0.17,0.15,0,0.33,3.11,0.34,3.77,2,0.4,2.4
FPSME2D08-01,04Year01,0.04,0.16,0.06,0.27,1.58,0,1.85,2.46,0.53,4.84,1.6,0.6,2.2
FPSME2D08-01,04Year02,0.05,0.12,0.13,0.3,1.22,0,1.52,0.87,1.01,3.4,0.6,1.1,1.6
FPSME2D08-01,04Year05,0.05,0.13,0.13,0.31,1.06,0.12,1.5,0.8,0.69,3,0.5,0.7,1.3
FPSME2D08-01,05Post,0.09,0.26,0.13,0.48,0.05,0.25,0.78,1.01,0.8,2.58,0.7,0.8,1.5
FPSME2D08-01,05Year02,0.05,0.17,0.13,0.36,0.42,0.34,1.11,1.49,0.75,3.35,1,0.8,1.8
FPSME2D08-01,04Year15,0.05,0.12,0.19,0.35,0.03,1.08,1.47,1.17,0.44,3.07,0.8,0.5,1.2
FPSME2D08-01,04Year10,0.07,0.22,0.26,0.55,0.24,1.44,2.23,1.43,0.69,4.35,0.9,0.7,1.7
FPSME2D08-02,00PRO01,0.02,0.04,0,0.06,0.33,0.07,0.47,1.73,1.2,3.4,1.1,1.3,2.4
FPSME2D08-02,00Pre,0.02,0.07,0,0.09,1.35,0.02,1.46,2.12,0.38,3.96,1.4,0.4,1.8
FPSME2D08-02,02Year01,0.14,0.29,0.26,0.68,0.12,1.01,1.8,4.67,0.54,7.01,3.1,0.6,3.6
FPSME2D08-02,04Post,0.07,0.2,0.13,0.4,0.89,0,1.29,3.26,0.55,5.1,2.1,0.6,2.7
FPSME2D08-02,04Year02,0.04,0.1,0.13,0.27,1.08,0.06,1.41,1.24,1.14,3.79,0.8,1.2,2
FPSME2D08-02,05Post,0.1,0.27,0.19,0.57,0.77,0.43,1.76,1.33,0.84,3.93,0.9,0.9,1.8
FPSME2D08-02,05Year02,0.04,0.16,0.26,0.45,0.62,0.4,1.46,1.53,1.17,4.16,1,1.2,2.2
FPSME2D08-02,04Year15,0.04,0.2,0.26,0.5,1.05,0.28,1.83,1.46,0.71,4.01,1,0.8,1.7
FPSME2D08-02,04Year10,0.05,0.27,0.39,0.71,1.91,0.45,3.08,2.03,0.9,6.01,1.3,1,2.3
FPSME2D08-02,04Year10,0.04,0.14,0.13,0.31,0.82,0,1.14,2.37,0.51,4.02,1.6,0.5,2.1
FPSME2D08-02,04Year20,0.07,0.16,0.13,0.36,0,2.17,2.53,1.62,0.53,4.67,1.1,0.6,1.6
FPSME2D08-04,00Pre,0.15,0.53,0.19,0.88,0.43,0.8,2.1,3.84,1.56,7.51,2.5,1.7,4.2
FPSME2D08-04,01Post,0.09,0.27,0.39,0.75,0.38,0,1.12,1.07,1.08,3.28,0.7,1.1,1.8
FPSME2D08-04,01Year02,0.1,0.45,0.06,0.61,0.26,0.1,0.97,1.5,1.11,3.58,1,1.2,2.2
FPSME2D08-04,01Year06,0.09,0.36,0.26,0.71,0.45,0,1.17,0.67,0.83,2.66,0.4,0.9,1.3
FPSME2D08-04,04Year05,0.17,0.35,0,0.51,1.9,0.02,2.44,2.91,0.74,6.1,1.9,0.8,2.7
FPSME2D08-04,05Post,0.06,0.36,0.06,0.49,1.41,0,1.9,2.19,0.35,4.43,1.4,0.4,1.8
FPSME2D08-04,05Year01,0.08,0.29,0.13,0.5,2.09,0,2.58,1.1,1.02,4.7,0.7,1.1,1.8
FPSME2D08-04,05Year02,0.07,0.3,0.13,0.5,2.35,0,2.85,0.57,0.91,4.33,0.4,1,1.3
FPSME2D08-04,05Year05,0.12,0.27,1.03,1.42,2.51,0.13,4.06,1.07,0.8,5.93,0.7,0.8,1.5
FPSME2D08-04,05Year10,0.08,0.42,0.58,1.08,4.06,0.73,5.87,0.66,0.98,7.51,0.4,1,1.5
FPSME2D08-04,05Year15,0.06,0.3,0.26,0.62,2.5,1.52,4.64,0.51,0.77,5.92,0.3,0.8,1.1
FPSME2D08-05,00Pre,0.09,0.26,0.26,0.61,0.11,0.29,1.02,2.68,1.33,5.03,1.8,1.4,3.2
FPSME2D08-05,01Post,0.13,0.32,0.13,0.58,0.08,0,0.66,2,1.08,3.75,1.3,1.1,2.5
FPSME2D08-05,01Year01,0.08,0.22,0.26,0.55,0.27,0,0.82,1.95,0.98,3.74,1.3,1,2.3
FPSME2D08-05,01Year02,0.11,0.25,0.26,0.62,0.21,0,0.83,2.36,1.04,4.23,1.5,1.1,2.6
FPSME2D08-05,02Year01,0.14,0.45,0.39,0.98,0.4,0,1.37,3.61,0.75,5.74,2.4,0.8,3.2
FPSME2D08-05,04Year05,0.14,0.45,0.39,0.98,0.4,0,1.37,3.61,0.75,5.74,2.4,0.8,3.2
FPSME2D08-05,05Post,0.07,0.3,0,0.38,0.41,0,0.79,2.69,0.37,3.85,1.8,0.4,2.2
FPSME2D08-05,05Year01,0.07,0.32,0.39,0.78,0.12,0,0.9,2.41,0.47,3.79,1.6,0.5,2.1
FPSME2D08-05,05Year02,0.08,0.38,0.26,0.72,0.54,0,1.26,1.2,1.35,3.81,0.8,1.4,2.2
FPSME2D08-05,05Year05,0.17,0.52,0.58,1.27,0.38,0,1.65,0.79,1.09,3.52,0.5,1.2,1.7
