Surface Fuels Summary,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,1000-hr sound,1000-hr rotten,,,,,,,
Macroplot,Monitoring Status,1-hr,10-hr,100-hr,1-100-hr,,,1-1000-hr,Duff,Litter,Total,Duff,Litt,Total
,,|____________________Average Kilograms per Square Meter_______________________|,,,,,,,,,,Avg. Depth (cm),,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
FPIPO1D10-01,04Year02,0.02,0.23,0.33,0.57,0.30,0.11,0.98,1.07,0.55,2.59,0.7,1.6,2.2
FPIPO1D10-01,02Year01,0.03,0.58,0.24,0.85,0.78,0.24,1.88,6.88,0.28,9.04,4.4,0.8,5.2
FPIPO1D10-01,04Year01,0.00,0.14,0.08,0.22,0.77,0.00,0.99,1.17,0.17,2.34,0.8,0.5,1.2
FPIPO1D10-01,00Pre,0.02,0.20,0.16,0.38,0.00,0.23,0.61,5.97,0.62,7.20,3.8,1.8,5.6
FPIPO1D10-01,04Post,0.00,0.17,0.08,0.25,1.00,0.00,1.25,0.50,0.16,1.91,0.3,0.5,0.8
FPIPO1D10-01,04Year05,0.04,0.39,0.33,0.76,1.47,0.00,2.22,0.79,0.23,3.24,0.5,0.6,1.2
FPIPO1D10-01,04Year10,0.02,0.43,0.16,0.61,2.20,1.12,3.93,0.92,0.23,5.08,0.6,0.7,1.2
FPIPO1D10-01,05Post,0.02,0.14,0.16,0.31,1.55,0.42,2.28,1.09,0.27,3.63,0.7,0.8,1.5
FPIPO1D10-02,04Year02,0.02,0.14,0.24,0.40,0.80,0.24,1.43,1.36,0.53,3.32,0.9,1.5,2.4
FPIPO1D10-02,02Year01,0.02,0.50,0.33,0.85,1.42,0.15,2.41,4.53,0.32,7.26,2.9,0.9,3.8
FPIPO1D10-02,04Year01,0.00,0.05,0.16,0.21,1.48,0.00,1.69,1.04,0.18,2.90,0.7,0.5,1.2
FPIPO1D10-02,00Pre,0.02,0.38,0.33,0.72,0.19,0.15,1.06,4.95,0.58,6.59,3.2,1.7,4.8
FPIPO1D10-02,04Post,0.01,0.05,0.16,0.22,1.50,0.00,1.71,0.76,0.18,2.66,0.5,0.5,1.0
FPIPO1D10-02,04Year05,0.04,0.61,0.33,0.97,3.51,0.08,4.56,1.46,0.25,6.27,0.9,0.7,1.6
FPIPO1D10-02,04Year10,0.01,0.26,0.16,0.43,2.30,1.04,3.77,1.21,0.19,5.17,0.8,0.5,1.3
FPIPO1D10-02,05Post,0.00,0.08,0.33,0.40,0.78,0.42,1.60,1.19,0.17,2.96,0.8,0.5,1.3
FPIPO1D10-03,04Year02,0.01,0.12,0.00,0.13,0.22,0.16,0.51,1.91,0.42,2.85,1.2,1.2,2.4
FPIPO1D10-03,02Year01,0.01,0.41,0.16,0.58,1.40,0.13,2.11,5.69,0.19,7.99,3.7,0.5,4.2
FPIPO1D10-03,04Year01,0.00,0.09,0.00,0.09,0.34,0.00,0.44,0.68,0.20,1.32,0.4,0.6,1.0
FPIPO1D10-03,00Pre,0.01,0.36,0.33,0.70,0.46,0.29,1.45,5.29,0.43,7.16,3.4,1.2,4.6
FPIPO1D10-03,04Post,0.01,0.11,0.08,0.20,0.36,0.00,0.56,1.32,0.21,2.09,0.9,0.6,1.5
FPIPO1D10-03,04Year05,0.01,0.14,0.00,0.14,3.47,0.00,3.61,0.91,0.53,5.05,0.6,1.5,2.1
