"plot_visit","plot","region","area","year","date","treatment_code","years_post","treatment","burns","thins","pileburns","monitoring_status"
"lr01_2001_-1_-1","lr01","Lake Roosevelt","evans","2001","2001/07/22","-1","-1","pretreatment_current","0","0","0","-1pre-1"
"lr01_2002_02_01","lr01","Lake Roosevelt","evans","2002","2002/06/08","02","01","thin","0","1","0","02year01"
"lr01_2004_04_00","lr01","Lake Roosevelt","evans","2004","2004/05/14","04","00","thin_burn","1","1","0","04post00"
"lr01_2005_04_01","lr01","Lake Roosevelt","evans","2005","2005/07/02","04","01","thin_burn","1","1","0","04year01"
"lr01_2006_04_02","lr01","Lake Roosevelt","evans","2006","2006/07/30","04","02","thin_burn","1","1","0","04year02"
"lr01_2009_04_05","lr01","Lake Roosevelt","evans","2009","2009/05/14","04","05","thin_burn","1","1","0","04year05"
"lr01_2011_-1_-1","lr01","Lake Roosevelt","sterling valley","2011","2011/05/15","-1","-1","pretreatment_current","0","0","0","-1pre-1"
"lr01_2013_03_01","lr01","Lake Roosevelt","sterling valley","2013","2013/06/21","03","01","pileburn","0","0","1","03year01"
"lr01_2014_03_02","lr01","Lake Roosevelt","sterling valley","2014","2014/05/10","03","02","pileburn","0","0","1","03year02"
"lr01_2014_04_10","lr01","Lake Roosevelt","evans","2014","2014/09/24","04","10","thin_burn","1","1","0","04year10"
"lr01_2017_03_05","lr01","Lake Roosevelt","sterling valley","2017","2017/07/14","03","05","pileburn","0","0","1","03year05"
"lr01_2019_05_00","lr01","Lake Roosevelt","evans","2019","2019/05/06","05","00","thin_burn_burn","2","1","0","05post00"
"lr02_2001_-1_-1","lr02","Lake Roosevelt","evans","2001","2001/07/20","-1","-1","pretreatment_current","0","0","0","-1pre-1"
"lr02_2002_02_01","lr02","Lake Roosevelt","evans","2002","2002/06/08","02","01","thin","0","1","0","02year01"
"lr02_2004_04_00","lr02","Lake Roosevelt","evans","2004","2004/05/15","04","00","thin_burn","1","1","0","04post00"
"lr02_2005_04_01","lr02","Lake Roosevelt","evans","2005","2005/07/01","04","01","thin_burn","1","1","0","04year01"
"lr02_2006_04_02","lr02","Lake Roosevelt","evans","2006","2006/07/29","04","02","thin_burn","1","1","0","04year02"
"lr02_2009_04_05","lr02","Lake Roosevelt","evans","2009","2009/05/15","04","05","thin_burn","1","1","0","04year05"
"lr02_2011_-1_-1","lr02","Lake Roosevelt","sterling valley","2011","2011/05/15","-1","-1","pretreatment_current","0","0","0","-1pre-1"
"lr02_2013_03_00","lr02","Lake Roosevelt","sterling valley","2013","2013/06/21","03","00","pileburn","0","0","1","03post00"
"lr02_2013_03_01","lr02","Lake Roosevelt","sterling valley","2013","2013/06/21","03","01","pileburn","0","0","1","03year01"
"lr02_2014_03_02","lr02","Lake Roosevelt","sterling valley","2014","2014/05/11","03","02","pileburn","0","0","1","03year02"
"lr02_2014_04_10","lr02","Lake Roosevelt","evans","2014","2014/09/25","04","10","thin_burn","1","1","0","04year10"
"lr02_2017_03_05","lr02","Lake Roosevelt","sterling valley","2017","2017/07/13","03","05","pileburn","0","0","1","03year05"
