Date,Monitoring Status,MacroPlot Name,MacroPlot UTM Y,MacroPlot UTM X,MacroPlot Purpose,NumTran,TranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Index,Transect,Slope,LogNum,Dia,DecayCl,CWDFuConSt,Comment,UV1,UV2,UV3,Visited
5/29/1996 0:00,00Pre,FPSME2D08-21,5357384,668304,Company Creek,4,100.0000002,,,,,,,,,,,,,,,,,,TRUE
5/29/1996 0:00,00Pre,FPSME2D08-21,5357384,668304,Company Creek,,,,,,,,,7,2,30,,3,3,NOCA,,, Sound, fuel2_FUEL,
5/29/1996 0:00,00Pre,FPSME2D08-21,5357384,668304,Company Creek,,,,,,,,,10,3,0,,6,4,NOCA,,, Rotten, fuel3_FUEL,
5/29/1996 0:00,00Pre,FPSME2D08-21,5357384,668304,Company Creek,,,,,,,,,11,3,0,,5,4,NOCA,,, Rotten, fuel3_FUEL,
5/29/1996 0:00,00Pre,FPSME2D08-21,5357384,668304,Company Creek,,,,,,,,,8,2,30,,6,4,NOCA,,, Rotten, fuel2_FUEL,
5/29/1996 0:00,00Pre,FPSME2D08-21,5357384,668304,Company Creek,,,,,,,,,6,1,25,,6,4,NOCA,,, Rotten, fuel1_FUEL,
5/29/1996 0:00,00Pre,FPSME2D08-21,5357384,668304,Company Creek,,,,,,,,,1,1,25,,8,4,NOCA,,, Rotten, fuel1_FUEL,
5/29/1996 0:00,00Pre,FPSME2D08-21,5357384,668304,Company Creek,,,,,,,,,12,3,0,,3,3,NOCA,,, Sound, fuel3_FUEL,
5/29/1996 0:00,00Pre,FPSME2D08-21,5357384,668304,Company Creek,,,,,,,,,14,4,20,,3,3,NOCA,,, Sound, fuel4_FUEL,
5/29/1996 0:00,00Pre,FPSME2D08-21,5357384,668304,Company Creek,,,,,,,,,4,1,25,,4,4,NOCA,,, Rotten, fuel1_FUEL,
5/29/1996 0:00,00Pre,FPSME2D08-21,5357384,668304,Company Creek,,,,,,,,,13,3,0,,12,4,NOCA,,, Rotten, fuel3_FUEL,
5/29/1996 0:00,00Pre,FPSME2D08-21,5357384,668304,Company Creek,,,,,,,,,9,3,0,,12,4,NOCA,,, Rotten, fuel3_FUEL,
5/29/1996 0:00,00Pre,FPSME2D08-21,5357384,668304,Company Creek,,,,,,,,,5,1,25,,3,4,NOCA,,, Rotten, fuel1_FUEL,
5/29/1996 0:00,00Pre,FPSME2D08-21,5357384,668304,Company Creek,,,,,,,,,3,1,25,,4,4,NOCA,,, Rotten, fuel1_FUEL,
5/29/1996 0:00,00Pre,FPSME2D08-21,5357384,668304,Company Creek,,,,,,,,,2,1,25,,5,4,NOCA,,, Rotten, fuel1_FUEL,
6/1/1996 0:00,00Pre,FPSME2D08-22,5357342,668240,Company Creek,4,100.0000002,,,,,,,,,,,,,,,,,,TRUE
6/1/1996 0:00,00Pre,FPSME2D08-22,5357342,668240,Company Creek,,,,,,,,,3,2,8,,5,3,NOCA,From FMH DFSOUND 1055,, Sound, fuel4_FUEL,
6/1/1996 0:00,00Pre,FPSME2D08-22,5357342,668240,Company Creek,,,,,,,,,1,1,1,,16,4,NOCA,From FMH DFROTTEN 1056,, Rotten, fuel1_FUEL,
6/1/1996 0:00,00Pre,FPSME2D08-22,5357342,668240,Company Creek,,,,,,,,,2,2,8,,4,3,NOCA,From FMH DFSOUND 1055,, Sound, fuel4_FUEL,
6/2/1996 0:00,00Pre,FPSME2D08-23,5357556,668391,Company Creek,4,100.0000002,,,,,,,,,,,,,,,,,,TRUE
6/2/1996 0:00,00Pre,FPSME2D08-23,5357556,668391,Company Creek,,,,,,,,,2,2,2,,12,4,NOCA,From FMH DFROTTEN 1056,, Rotten, fuel4_FUEL,
6/2/1996 0:00,00Pre,FPSME2D08-23,5357556,668391,Company Creek,,,,,,,,,3,2,2,,5,3,NOCA,From FMH DFSOUND 1055,, Sound, fuel4_FUEL,
6/2/1996 0:00,00Pre,FPSME2D08-23,5357556,668391,Company Creek,,,,,,,,,1,1,7,,18,4,NOCA,From FMH DFROTTEN 1056,, Rotten, fuel1_FUEL,
6/27/1996 0:00,00Pre,FPSME2D08-28,5355411,671686,Boulder ,4,100.0000002,,,,,,,,,,,,,,,,,,TRUE
6/27/1996 0:00,00Pre,FPSME2D08-28,5355411,671686,Boulder ,,,,,,,,,2,2,0,,5,4,NOCA,From FMH DFROTTEN 1056,, Rotten, fuel4_FUEL,
6/27/1996 0:00,00Pre,FPSME2D08-28,5355411,671686,Boulder ,,,,,,,,,1,1,2,,14,4,NOCA,From FMH DFROTTEN 1056,, Rotten, fuel1_FUEL,
6/29/1996 0:00,00Pre,FPSME2D08-25,5360875,662394,Bullion,4,100.0000002,,,,,,,,,,,,,,,,,,TRUE
6/29/1996 0:00,00Pre,FPSME2D08-25,5360875,662394,Bullion,,,,,,,,,2,1,5,,10,3,NOCA,From FMH DFSOUND 1055,, Sound, fuel3_FUEL,
6/29/1996 0:00,00Pre,FPSME2D08-25,5360875,662394,Bullion,,,,,,,,,3,1,5,,4,4,NOCA,From FMH DFROTTEN 1056,, Rotten, fuel3_FUEL,
6/29/1996 0:00,00Pre,FPSME2D08-25,5360875,662394,Bullion,,,,,,,,,5,2,5,,5.5,3,NOCA,From FMH DFSOUND 1055,, Sound, fuel4_FUEL,
6/29/1996 0:00,00Pre,FPSME2D08-25,5360875,662394,Bullion,,,,,,,,,4,2,5,,4,3,NOCA,From FMH DFSOUND 1055,, Sound, fuel4_FUEL,
6/29/1996 0:00,00Pre,FPSME2D08-25,5360875,662394,Bullion,,,,,,,,,1,1,5,,12,3,NOCA,From FMH DFSOUND 1055,, Sound, fuel3_FUEL,
7/14/1996 0:00,00PRO01,FPSME2D08-01,5356602,670360,Orchard Rainbow,4,100.0000002,,,,,,,,,,,,,,,,,,TRUE
7/15/1996 0:00,00PRO01,FPSME2D08-02,5356522,670263,Orchard Rainbow,4,100.0000002,,,,,,,,,,,,,,,,,,TRUE
7/15/1996 0:00,00PRO01,FPSME2D08-02,5356522,670263,Orchard Rainbow,,,,,,,,,3,2,3,,5.4,4,NOCA,From FMH DFROTTEN 1056,, Rotten, fuel4_FUEL,
7/15/1996 0:00,00PRO01,FPSME2D08-02,5356522,670263,Orchard Rainbow,,,,,,,,,4,2,3,,3,3,NOCA,From FMH DFSOUND 1055,, Sound, fuel4_FUEL,
7/15/1996 0:00,00PRO01,FPSME2D08-02,5356522,670263,Orchard Rainbow,,,,,,,,,1,1,2,,3,3,NOCA,From FMH DFSOUND 1055,, Sound, fuel1_FUEL,
7/15/1996 0:00,00PRO01,FPSME2D08-02,5356522,670263,Orchard Rainbow,,,,,,,,,2,1,2,,11.2,3,NOCA,From FMH DFSOUND 1055,, Sound, fuel1_FUEL,
7/17/1996 0:00,00Pre,FPSME2D08-06,5355657,671514,Boulder,4,100.0000002,,,,,,,,,,,,,,,,,,TRUE
7/17/1996 0:00,00Pre,FPSME2D08-06,5355657,671514,Boulder,,,,,,,,,4,3,3,,3,4,NOCA,From FMH DFROTTEN 1056,, Rotten, fuel3_FUEL,
7/17/1996 0:00,00Pre,FPSME2D08-06,5355657,671514,Boulder,,,,,,,,,1,1,2,,9.5,3,NOCA,From FMH DFSOUND 1055,, Sound, fuel1_FUEL,
7/17/1996 0:00,00Pre,FPSME2D08-06,5355657,671514,Boulder,,,,,,,,,3,3,3,,5,3,NOCA,From FMH DFSOUND 1055,, Sound, fuel3_FUEL,
7/17/1996 0:00,00Pre,FPSME2D08-06,5355657,671514,Boulder,,,,,,,,,5,4,1,,3.5,3,NOCA,From FMH DFSOUND 1055,, Sound, fuel4_FUEL,
7/17/1996 0:00,00Pre,FPSME2D08-06,5355657,671514,Boulder,,,,,,,,,2,2,1,,9.5,4,NOCA,From FMH DFROTTEN 1056,, Rotten, fuel2_FUEL,
8/7/1996 0:00,00Pre,FPSME2D08-07,5355708,671565,Boulder ,4,100.0000002,,,,,,,,,,,,,,,,,,TRUE
