Date,Monitoring Status,MacroPlot Name,MacroPlot UTM Zone,MacroPlot UTM Y,MacroPlot UTM X,MacroPlot Purpose,NumTran,OneHrTranLen,TenHrTranLen,HunHrTranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Index,Transect,Azimuth,Slope,OneHr,TenHr,HunHr,FWDFuConSt,Comment,UV1,UV2,UV3,Visited
5/29/1996 0:00,00Pre,FPSME2D08-21,11U,5357384,668304,Company Creek,4,6,6,12,,,,,,,,,,,,,,,,,,,TRUE
5/29/1996 0:00,00Pre,FPSME2D08-21,11U,5357384,668304,Company Creek,,,,,,,,,,,1,1,247,25,21,3,0,NOCA,,,, fuel1_FUEL,
5/29/1996 0:00,00Pre,FPSME2D08-21,11U,5357384,668304,Company Creek,,,,,,,,,,,3,3,35,0,15,0,0,NOCA,,,, fuel3_FUEL,
5/29/1996 0:00,00Pre,FPSME2D08-21,11U,5357384,668304,Company Creek,,,,,,,,,,,2,2,266,30,18,0,0,NOCA,,,, fuel2_FUEL,
5/29/1996 0:00,00Pre,FPSME2D08-21,11U,5357384,668304,Company Creek,,,,,,,,,,,4,4,47,20,29,4,2,NOCA,,,, fuel4_FUEL,
6/1/1996 0:00,00Pre,FPSME2D08-22,10,5357342,668240,Company Creek,4,6,6,12,,,,,,,,,,,,,,,,,,,TRUE
6/1/1996 0:00,00Pre,FPSME2D08-22,10,5357342,668240,Company Creek,,,,,,,,,,,3,3,4,3,64,6,0,NOCA,From FMH DFTRANS 1057,,, fuel3_FUEL,
6/1/1996 0:00,00Pre,FPSME2D08-22,10,5357342,668240,Company Creek,,,,,,,,,,,1,1,7,1,5,0,0,NOCA,From FMH DFTRANS 1057,,, fuel1_FUEL,
6/1/1996 0:00,00Pre,FPSME2D08-22,10,5357342,668240,Company Creek,,,,,,,,,,,2,2,159,8,16,5,1,NOCA,From FMH DFTRANS 1057,,, fuel2_FUEL,
6/1/1996 0:00,00Pre,FPSME2D08-22,10,5357342,668240,Company Creek,,,,,,,,,,,4,4,51,8,1,5,0,NOCA,From FMH DFTRANS 1057,,, fuel4_FUEL,
6/2/1996 0:00,00Pre,FPSME2D08-23,10U,5357556,668391,Company Creek,4,6,6,12,,,,,,,,,,,,,,,,,,,TRUE
6/2/1996 0:00,00Pre,FPSME2D08-23,10U,5357556,668391,Company Creek,,,,,,,,,,,3,3,137,8,7,14,0,NOCA,From FMH DFTRANS 1057,,, fuel3_FUEL,
6/2/1996 0:00,00Pre,FPSME2D08-23,10U,5357556,668391,Company Creek,,,,,,,,,,,2,2,28,12,9,5,0,NOCA,From FMH DFTRANS 1057,,, fuel2_FUEL,
6/2/1996 0:00,00Pre,FPSME2D08-23,10U,5357556,668391,Company Creek,,,,,,,,,,,1,1,238,7,88,10,1,NOCA,From FMH DFTRANS 1057,,, fuel1_FUEL,
6/2/1996 0:00,00Pre,FPSME2D08-23,10U,5357556,668391,Company Creek,,,,,,,,,,,4,4,213,2,13,0,0,NOCA,From FMH DFTRANS 1057,,, fuel4_FUEL,
6/27/1996 0:00,00Pre,FPSME2D08-28,10U,5355411,671686,Boulder ,4,6,6,12,,,,,,,,,,,,,,,,,,,TRUE
6/27/1996 0:00,00Pre,FPSME2D08-28,10U,5355411,671686,Boulder ,,,,,,,,,,,3,3,249,2,57,12,0,NOCA,From FMH DFTRANS 1057,,, fuel3_FUEL,
6/27/1996 0:00,00Pre,FPSME2D08-28,10U,5355411,671686,Boulder ,,,,,,,,,,,2,2,21,4,34,7,1,NOCA,From FMH DFTRANS 1057,,, fuel2_FUEL,
6/27/1996 0:00,00Pre,FPSME2D08-28,10U,5355411,671686,Boulder ,,,,,,,,,,,1,1,323,2,18,0,0,NOCA,From FMH DFTRANS 1057,,, fuel1_FUEL,
6/27/1996 0:00,00Pre,FPSME2D08-28,10U,5355411,671686,Boulder ,,,,,,,,,,,4,4,258,0,55,6,0,NOCA,From FMH DFTRANS 1057,,, fuel4_FUEL,
6/29/1996 0:00,00Pre,FPSME2D08-25,10U,5360875,662394,Bullion,4,6,6,12,,,,,,,,,,,,,,,,,,,TRUE
