NOCA Fire Effects Monitoring Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOCA Fire Effects Plot History and Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
updated: 11/22/20 CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burn Unit,Subunit,New Plot  ID,Old Plot ID ,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
FFRAs,,(USE THESE CODES) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boulder,1B,FPSME2D08-06,FPSME2D08-06,"00PRE, RXfall, 01POST",01YR01,01YR02,,,,01YR06,,,,THIN/ 04yr10,02YR01,,,,04YR15,,,,,04YR20,,,,,04YR20
Boulder,1B,FPSME2D08-07,FPSME2D08-07,"00PRE, RXfall, 01POST",01YR01,01YR02,,,,01YR06,,,,THIN / 04yr10,02YR01,,,,04YR15,,,,,04YR20,,,,,04YR20
Boulder,1B,FPSME2D08-08,FPSME2D08-08,"00PRE, RXfall, 01POST",01YR01,01YR02,,,,01YR06,,,,THIN / 04yr10,02YR01,,,,04YR15,,,,,04YR20,,,,,04YR20
Boulder,1A,FPSME2D08-28,FPSME1D08-08,"00PRE, RXfall, 01POST",01YR01,01YR02,,,,01YR06,,,,THIN / 04yr10,02YR01,,,,04YR15,,,,,04YR20,,,,,
Boulder,n/a,FPSME3D08-05,FPSME3D08-05, ,00PRE,,,,,00YR05 ,,,,,00YR10,,,, ,00YR15, ,,,,00YR20 ,,,,
Boulder,n/a,FPSME3D08-06,FPSME3D08-06, ,00PRE,,,,,00YR05 ,,,,,00YR10,,,,,00YR15, ,,,,00YR20,,,,
Boulder,2,FPSME2D08-52,FPSME2D08-52,,,,,,,,,,,,,,,,,,,,02YR00,,"RXFALL, 04POST",04YR01,04YR02,,
Boulder,2,FPSME2D08-53,FPSME2D08-53,,,,,,,,,,,,,,,,,,,,02YR00,,"RXFALL, 04POST",04YR01,04YR02,,
Boulder,3,FPSME2D08-54,FPSME2D08-54,,,,,,,,,,,,,,,,,,,,02YR00,,"RXFALL, 04POST",04YR01,04YR02,,
Boulder,3,FPSME2D08-55,FPSME2D08-55, ,,,,,,,,,,,,,,,,, ,,02YR00,,"RXFALL, 04POST",04YR01,04YR02,,
Company,3B,FPSME2D08-04,FPSME2D08-04,,"00PRE, RXfall,01POST",01YR01,01YR02,,,"THIN, 02YR01, 04YR05","RXspr, 05POST",05YR01,05YR02,,,05YR05,,,,,05YR10,,,,,05YR15,,,
Company,3B,FPSME2D08-05,FPSME2D08-05,,"00PRE, RXfall,01POST",01YR01,01YR02,,,"THIN, 02YR01, 04YR05","RXspr, 05POST",05YR01,05YR02,,,05YR05,,,,,05YR10,,,,,05YR15,,,
Company,2B,FPSME2D08-10,FPSME2D08-10,,00PRO01,,,00PRE,,"THIN, 02YR01","RXspr, 04POST",04YR01,04YR02,,,04YR05,,,,,04YR10,,,,,04YR15,,,
Company,2B,FPSME2D08-11,FPSME2D08-11,,00PRO01,,,00PRE,,"THIN, 02YR01","RXspr, 04POST",04YR01,04YR02,,,04YR05,,,,,04YR10,,,,,04YR15,,,
Company,2B,FPSME2D08-14,FPSME2D08-14,,,00PRE,,,,"THIN, 02YR01","RXspr, 04POST",04YR01,04YR02,,,04YR05,,,,,04YR10,,,,,04YR15,,,
Company,1,FPSME2D08-21,FPSME1D08-01,00PRE,"RXfall, 01POST",01YR01,01YR02,,,"01YR05, THIN",02YR01,"RXspr, 05POST",05YR01,05YR02,,,05YR05,,,,,05YR10, , , , ,05YR15,,
Company,1,FPSME2D08-22,FPSME1D08-02,00PRE,"RXfall, 01POST",01YR01,01YR02,,,"01YR05, THIN",02YR01,"RXspr, 05POST",05YR01,05YR02,,,05YR05,,,,,05YR10, , , , ,"05YR15, THIN",02YR02,
Company,1,FPSME2D08-23,FPSME1D08-03,00PRE,"RXfall, 01POST",01YR01,01YR02,,,"01YR05, THIN",02YR01,"RXspr, 05POST",05YR01,05YR02,,,05YR05,,,,,05YR10, , , , ,05YR15,,
Company,1,FPSME2D08-24,FPSME1D08-04,00PRE,"RXfall, 01POST",01YR01,01YR02,,,"01YR05, THIN",02YR01,"RXspr, 05POST",05YR01,05YR02,,,05YR05,,,,,05YR10, , , , ,05YR15,,
Company,1,FPSME2D08-30,FPSME1D08-10,00PRE,"RXfall, 01POST",01YR01,01YR02,,,"01YR05, THIN",02YR01,"RXspr, 05POST",05YR01,05YR02,,,05YR05,,,,,05YR10, , , , ,05YR15,,
Company,1,FPSME2D08-31,FPSME1D08-11,,"00PRE, RXfall,01POST",01YR01,01YR02,,,"01YR05, THIN",02YR01,"RXspr, 05POST",05YR01,05YR02,,,05YR05,,,,,05YR10, , , , ,05YR15,,
Company,4,FPSME2D08-35,FPSME1D08-15,,00PRO01,,,,,"00PRE, THIN",02YR01,"RXspr, 04POST",04YR01,04YR02,,,04YR05,,,,,04YR10, , , , ,"04YR15, THIN",02YR02,
Company,4,FPSME2D08-36,FPSME1D08-16,,00PRO01,,,,,"00PRE, THIN",02YR01,"RXspr, 04POST",04YR01,04YR02,,,04YR05,,,,,04YR10, , , , ,"04YR15, THIN",02YR02,
Company,4,FPSME2D08-37,FPSME1D08-17,,00PRO01,,,,,"00PRE, THIN",02YR01,"RXspr, 04POST",04YR01,04YR02,,,04YR05,,,,,04YR10, , , , ,"04YR15, THIN",02YR02,
Bullion,6,FPSME2D08-09,FPSME2D08-09,,00PRO01,,,00PRE,,"THIN, 02YR01",,,"RXspr, 04POST",04YR01,04YR02,, ,04YR05,,,,,04YR10,,,,,04YR15,
Bullion,6,FPSME2D08-12,FPSME2D08-12,,00PRO01,,,00PRE,,"THIN, 02YR01",,,,, 02YR05,"THIN, 02YR02", , ,,,,,,,,,,,
Bullion,3,FPSME2D08-16,FPSME2D08-16,,,,,,00PRE,"THIN, 02YR01",,,"RXspr, 04POST", 04YR01, THIN, ????, ????, ????, ????, ????, ????, ????, ????, ????, ????, ????, ????, ????, ????
Bullion,5,FPSME2D08-25,FPSME1D08-05,00PRE,,,"RXspr, 01POST",01YR01,01YR02,,THIN,"02YR01, 04YR05","RXspr, 05POST",05YR01,"05YR02, THIN",02YR02, ,"08YR05, RXfall, 09POST",09YR01,09YR02, ,,09YR05,,,,,09YR10,
Bullion,4,FPSME2D08-38,FPSME1D08-18,,,,,,00PRE,"THIN, 02YR01",,,"RXspr, 04POST",04YR01,"04YR02, THIN",02YR01, ,"07YR05, RXfall, 08POST",08YR01,08YR02, ,,08YR05,,,,,08YR10,
Bullion,7,FPSME2D08-44,FPSME2D08-44,,,,,,,,,,"00PRE, THIN,  02YR01, RXspr, 04POST",04YR01,"04YR02, THIN",02YR02, ,07YR05,,,,,07YR10,,,,,07YR15,
Bullion,n/a,FPSME3D08-03,FPSME3D08-03,,00PRE 00PRO,,,,,,,, , , ,,,,, , ,,,,,,,,
Bullion,n/a,FPSME3D08-10,FPSME3D08-10,,00PRE 00PRO,,,,,,,,,, ,,,,, , ,,,,,,,,
McGregor,1,FPSME2D08-41,FPSME2DO8-41,,,,,,,,,,"00PRE,THIN",02YR01, ????, ????, ????, ????, ????, ????, ????, ????, ????, ????, ????, ????,,,
McGregor,2,FPSME2D08-42,FPSME2DO8-42,,,,,,,,,,"00PRE,THIN",02YR01, ????, ????, ????, ????, ????, ????, ????, ????, ????, ????, ????, ????, ????, ????, ????
McGregor,3,FPSME2D08-43,FPSME2DO8-43,,,,,,,,,,"00PRE,THIN",02YR01,,,,,,,,,,,,,,,
